id,trust_value
Route18974.0,0.857142857143
RouteSet1629.3,0.95
RouteSet1629.2,0.666666666667
Building4064.0,0.75
RouteSet25222.1,0.833333333333
Building21072.0,0.833333333333
Route24917.0,0.857142857143
RouteSet11716.4,0.857142857143
Building3314.0,0.75
RouteSet4784.1,0.666666666667
Building35399.0,0.8
RouteSet3036.2,0.909090909091
RouteSet3036.1,0.777777777778
Building17783.0,0.833333333333
Route36255.0,0.75
Route39996.0,0.857142857143
RouteSet2381.1,0.7
Route60199.0,0.666666666667
RouteSet2381.2,0.666666666667
RouteSet2381.5,0.941176470588
RouteSet2381.4,0.818181818182
Route50432.0,0.75
Building7173.0,0.833333333333
Building10771.0,0.833333333333
Building2220.0,0.833333333333
RouteSet18273.2,0.823529411765
Building1032.0,0.833333333333
Building11732.0,0.833333333333
Building25222.0,0.833333333333
Route61680.0,0.666666666667
RouteSet8222.1,0.777777777778
Route38030.0,0.833333333333
Building21639.0,0.833333333333
Route50310.0,0.75
Route56313.0,0.8
Building11700.0,0.833333333333
Building4508.0,0.75
Building3792.0,0.75
Building6213.0,0.75
RouteSet12369.1,0.875
Building18824.0,0.833333333333
Route42331.0,0.833333333333
Building7733.0,0.833333333333
Route59687.0,0.666666666667
Building23657.0,0.833333333333
Route24886.0,0.833333333333
Route30997.0,0.8
RouteSet17787.1,0.833333333333
Route11553.0,0.75
Building1529.0,0.833333333333
Route46511.0,0.833333333333
Route57200.0,0.75
Building31278.0,0.833333333333
RouteSet20716.1,0.6
Building4224.0,0.75
Route36241.0,0.833333333333
Building19337.0,0.428571428571
Building12159.0,0.833333333333
Building5242.0,0.75
RouteSet6777.1,0.6
Building6775.0,0.833333333333
Building5909.0,0.833333333333
RouteSet8246.1,0.833333333333
Route21776.0,0.875
Building24818.0,0.833333333333
Route61104.0,0.666666666667
Route11618.0,0.866666666667
Route13343.0,0.888888888889
Building24859.0,0.4
Route34003.0,0.666666666667
Building6195.0,0.75
Building7293.0,0.833333333333
RouteSet18271.1,0.875
RouteSet17481.1,0.875
Route29282.0,0.875
Route59921.0,0.666666666667
Route49947.0,0.75
Route10179.0,0.75
Building2609.0,0.833333333333
Route28387.0,0.857142857143
Building12171.0,0.833333333333
Building20211.0,0.8
Route38980.0,0.75
Route37266.0,0.888888888889
Route18508.0,0.833333333333
Building23713.0,0.428571428571
Building9226.0,0.833333333333
Building4902.0,0.75
Building7283.0,0.833333333333
RouteSet31315.1,0.75
Building23671.0,0.4
Route54598.0,0.857142857143
Route8032.0,0.875
RouteSet1782.10,0.5
RouteSet1542.5,0.666666666667
RouteSet2296.5,0.875
RouteSet1542.7,0.833333333333
RouteSet1542.6,0.666666666667
RouteSet1542.1,0.7
RouteSet2296.1,0.4
RouteSet1542.3,0.428571428571
RouteSet1542.2,0.702127659574
Building25942.0,0.4
RouteSet2296.8,0.785714285714
RouteSet1542.8,0.666666666667
RouteSet21647.1,0.75
RouteSet7701.1,0.6
Building4570.0,0.75
Route37790.0,0.833333333333
Route39127.0,0.833333333333
Route30427.0,0.8
Building5410.0,0.75
Building19131.0,0.4
Building8280.0,0.833333333333
Building3226.0,0.833333333333
Building25966.0,0.4
Building809.0,0.833333333333
Route30600.0,0.833333333333
RouteSet8084.1,0.75
Building9796.0,0.833333333333
Building12459.0,0.833333333333
RouteSet2687.4,0.863636363636
RouteSet2687.5,0.5
RouteSet2687.2,0.727272727273
RouteSet2687.3,0.666666666667
RouteSet2687.1,0.6
Building5430.0,0.75
Route58452.0,0.666666666667
Route30765.0,0.75
Route59080.0,0.666666666667
Route12758.0,0.916666666667
Route59158.0,0.666666666667
RouteSet10659.1,0.833333333333
RouteSet8138.1,0.833333333333
Route34102.0,0.666666666667
Building4798.0,0.833333333333
Route41009.0,0.833333333333
Route39891.0,0.8
RouteSet24164.1,0.833333333333
Building2933.0,0.833333333333
RouteSet6575.2,0.777777777778
RouteSet6575.3,0.833333333333
Building7155.0,0.833333333333
RouteSet6575.1,0.6
RouteSet8774.1,0.833333333333
Building11750.0,0.833333333333
Building21655.0,0.833333333333
Building25469.0,0.833333333333
Building3016.0,0.833333333333
Building4506.0,0.75
Building2653.0,0.833333333333
RouteSet8142.1,0.75
RouteSet3232.1,0.875
Route18902.0,0.857142857143
Building35397.0,0.666666666667
RouteSet8501.1,0.714285714286
RouteSet12283.1,0.875
